Question,1,2,3,N,4,N2,5,N3
Albania,1454000000,390841300,241902744,2086744044,2191000,,3443000,
Alemania,90883000000,158018312565,11240000000,260141312565,26875000,,87459000,
Bulgaria,891000000,379402215,281214848,1551617063,6047000,,3676000,
Croacia,861000000,2181717615,515289953,3558007568,9111000,,1873000,
Dinamarca,9082000000,24438197557,936581043,34456778600,8744000,,7726000,
España,16930000000,54378121383,7851000000,79159121383,52677000,,12379000,
Francia,5267000000,137979212386,11942000000,155188212386,76647000,,25041000,
Georgia,46704000000,380804580,232351447,47317156027,2032000,,2086000,
Hungría,329000000,5632497227,839785102,6801282329,9510000,,16082000,
India,2897000000,72812934665,5149561353,80859496018,5776000,,12988000,
Israel,10490000000,15451699141,1087579168,27029278309,2803000,,4269000,
Nueva Zelandia,4725000000,10197001292,731879586,15653880878,2435000,,2026000,
Reino Unido,66658000000,140772762096,6486360457,213917122553,28295000,,55562000,
Rumania,1896000000,5857848547,2850054603,10603903150,7498000,,10905000,
Turquía,5817000000,22777683348,5419484097,34014167445,31364000,,6557000,
